,Unnamed: 0.1,Unnamed: 0,Unique ID,NTS Sheet,Latitude_NAD83,Longitude_NAD83,Old Zn,Old Cu,Old Pb,Old Ni,Old Co,Old Ag,Old Mn,Old Fe,Old As,Old Mo,Old F,LOI,Old Hg,Old U,Sample Type,NTS,Latitude (NAD 27),Longitude (NAD 27),New Ag,New Al,New As,New Au,New B,New Ba,New Be,New Bi,New Ca,New Cd,New Ce,New Co,New Cr,New Cs,New Cu,New Dy,New Er,New Eu,New Fe,New Ga,New Gd,New Ge,New Hf,New Hg,New Ho,New In,New K,New La,New Li,New Lu,New Mg,New Mn,New Mo,New Na,New Nb,New Nd,New Ni,New P,New Pb,New Pd,New Pr,New Pt,New Rb,New Re,New S,New Sb,New Sc,New Se,New Sm,New Sn,New Sr,New Ta,New Tb,New Te,New Th,New Ti,New Tl,New Tm,New U,New V,New W,New Y,New Yb,New Zn,New Zr,Imputed Old Zn,Imputed Old Cu,Imputed Old Ni,Imputed Old Co,Imputed Old Mn,Imputed Old Fe,Imputed Old F,Imputed Old Hg,Imputed Old U,Imputed New Ag,Imputed New Al,Imputed New Ba,Imputed New Be,Imputed New Ca,Imputed New Cd,Imputed New Ce,Imputed New Co,Imputed New Cr,Imputed New Cs,Imputed New Cu,Imputed New Dy,Imputed New Er,Imputed New Eu,Imputed New Fe,Imputed New Ga,Imputed New Gd,Imputed New Hg,Imputed New Ho,Imputed New K,Imputed New La,Imputed New Li,Imputed New Lu,Imputed New Mg,Imputed New Mn,Imputed New Mo,Imputed New Na,Imputed New Nb,Imputed New Nd,Imputed New Ni,Imputed New P,Imputed New Pb,Imputed New Pr,Imputed New Rb,Imputed New S,Imputed New Sc,Imputed New Se,Imputed New Sm,Imputed New Sr,Imputed New Tb,Imputed New Th,Imputed New Ti,Imputed New Tl,Imputed New Tm,Imputed New U,Imputed New V,Imputed New Y,Imputed New Yb,Imputed New Zn,Imputed New Zr,geometry,CLR(Imputed New Ag),CLR(Imputed New Al),CLR(Imputed New Ba),CLR(Imputed New Be),CLR(Imputed New Ca),CLR(Imputed New Cd),CLR(Imputed New Ce),CLR(Imputed New Co),CLR(Imputed New Cr),CLR(Imputed New Cs),CLR(Imputed New Cu),CLR(Imputed New Dy),CLR(Imputed New Er),CLR(Imputed New Eu),CLR(Imputed New Fe),CLR(Imputed New Ga),CLR(Imputed New Gd),CLR(Imputed New Hg),CLR(Imputed New Ho),CLR(Imputed New K),CLR(Imputed New La),CLR(Imputed New Li),CLR(Imputed New Lu),CLR(Imputed New Mg),CLR(Imputed New Mn),CLR(Imputed New Mo),CLR(Imputed New Na),CLR(Imputed New Nb),CLR(Imputed New Nd),CLR(Imputed New Ni),CLR(Imputed New P),CLR(Imputed New Pb),CLR(Imputed New Pr),CLR(Imputed New Rb),CLR(Imputed New S),CLR(Imputed New Sc),CLR(Imputed New Se),CLR(Imputed New Sm),CLR(Imputed New Sr),CLR(Imputed New Tb),CLR(Imputed New Th),CLR(Imputed New Ti),CLR(Imputed New Tl),CLR(Imputed New Tm),CLR(Imputed New U),CLR(Imputed New V),CLR(Imputed New Y),CLR(Imputed New Yb),CLR(Imputed New Zn),CLR(Imputed New Zr),CLR(Imputed Old Zn),CLR(Imputed Old Cu),CLR(Imputed Old Ni),CLR(Imputed Old Co),CLR(Imputed Old Mn),CLR(Imputed Old Fe),CLR(Imputed Old F),CLR(Imputed Old Hg),CLR(Imputed Old U)
0,0,1,013L781002,013L,54.9890932,-62.0190714,40.0,38.0,,43.0,10.0,,70.0,1.0,,2.0,85.0,23.0,40.0,0.3,Routine,013L,54.989,-62.01995,57.0,2.89,,1.0,,81.5,0.2,0.02,0.48,0.32,19.1,9.9,22.6,0.17,43.46,1.18,0.65,0.56,1.06,4.6,1.66,,0.03,46.0,0.23,,0.03,10.5,2.9,0.1,0.26,60.0,0.55,0.103,0.39,11.2,52.9,0.042,1.9,,2.84,,1.6,,0.25,,2.3,0.7,1.9,0.1,41.0,,0.2,,0.8,0.021,0.03,0.1,0.3,31.0,,6.04,0.64,44.0,0.9,40.0,38.0,43.0,10.0,70.0,1.0,85.0,40.0,0.3,57.0,2.89,81.5,0.2,0.48,0.32,19.1,9.9,22.6,0.17,43.46,1.18,0.65,0.56,1.06,4.6,1.66,46.0,0.23,0.03,10.5,2.9,0.1,0.26,60.0,0.55,0.103,0.39,11.2,52.9,0.042,1.9,2.84,1.6,0.25,2.3,0.7,1.9,41.0,0.2,0.8,0.021,0.03,0.1,0.3,31.0,6.04,0.64,44.0,0.9,POINT (-62.0190714 54.9890932),3.6210482311869643,0.6392534654767551,3.9785999835992314,-2.031440949081686,-1.1559722117277862,-1.5614373198359506,2.5276852984049984,1.8705317204929586,2.6959468696306543,-2.193959878579461,3.349837938180698,-0.25648859817001235,-0.85278595274004,-1.001821531900528,-0.36373412852360987,1.1040532668474634,0.08481456572086607,3.406638359841509,-1.8916790067065272,-3.9285609339675673,1.929372220515892,0.6427077003448426,-2.7245881296416314,-1.7690766846141952,3.672341525574515,-1.0198400374032062,-2.695029327400087,-1.3636115765060306,1.993910741653463,3.546400302216668,-3.5920886973463544,0.21985084952480902,0.6218010155255288,0.04800059259814991,-1.8082973977674763,0.4109060862875182,-0.7786779805863182,0.21985084952480902,3.291569030056722,-2.031440949081686,-0.6451465879617954,-4.2852358779063,-3.9285609339675673,-2.7245881296416314,-1.6259758409735219,3.0119841678375607,1.3764009752991377,-0.8682901392760052,3.3621865972706755,-0.5273635523054121,0.9592901240188688,0.9079968296313182,1.0316107855984948,-0.4270042371010218,1.5189059119542914,-2.7295893300950675,1.713061926395249,0.9592901240188688,-3.933562134421004
1,1,2,013L781003,013L,54.9753817,-62.0305772,40.0,44.0,,35.0,8.0,,80.0,1.9,,,80.0,33.0,70.0,0.5,Routine,013L,54.97529,-62.03145,106.0,3.22,0.1,1.6,,26.0,,0.02,0.48,0.35,17.9,8.8,20.8,0.18,49.32,1.3,0.53,0.57,2.19,5.0,1.41,,0.03,66.0,0.2,,0.02,10.0,2.5,0.07,0.2,69.0,0.71,0.08,0.55,9.85,44.7,0.094,2.26,,2.61,,1.6,,0.3,0.02,2.3,1.3,1.76,0.1,31.3,,0.19,,0.8,0.021,0.03,0.08,0.3,45.0,,5.65,0.49,45.1,1.0,40.0,44.0,35.0,8.0,80.0,1.9,80.0,70.0,0.5,106.0,3.22,26.0,0.1807619211335676,0.48,0.35,17.9,8.8,20.8,0.18,49.32,1.3,0.53,0.57,2.19,5.0,1.41,66.0,0.2,0.02,10.0,2.5,0.07,0.2,69.0,0.71,0.08,0.55,9.85,44.7,0.094,2.26,2.61,1.6,0.3,2.3,1.3,1.76,31.3,0.19,0.8,0.021,0.03,0.08,0.3,45.0,5.65,0.49,45.1,1.0,POINT (-62.0305772 54.9753817),4.231804585240658,0.7377468506849083,2.8264620291500737,-2.142208975276838,-1.165603683951609,-1.4814566333700865,2.4531662039753006,1.7431172126127523,2.603318477835864,-2.1464329369633353,3.4666951694247348,-0.16927024440391744,-1.066512781307378,-0.9937534270249498,0.3522670349570009,1.1778034035626919,-0.08804480448133167,3.758020233155017,-2.041072421305509,-4.343657514299554,1.8709505841226373,0.4846562230027466,-3.0908945458041863,-2.041072421305509,3.802471995725851,-0.7741248178181845,-2.957363153179664,-1.0294715096270288,1.855836946312589,3.368338992748115,-2.796095005583542,0.3837303044127859,0.5277157124631934,0.03836912037432696,-1.6356073131973448,0.4012746140636953,-0.16927024440391744,0.13367930017865176,3.011983588674699,-2.0923657156930595,-0.6547780601856183,-4.294867350130122,-3.93819240619139,-2.957363153179664,-1.6356073131973448,3.375027980898911,1.300021036286941,-1.1449843967488733,3.3772477376372243,-0.43163450887140864,0.7923112420904896,0.8876214218948144,0.658779849465967,-0.8171266703436108,1.485458422650435,-2.254714325851052,1.485458422650435,1.3519270300259123,-3.589715392583392
2,2,3,013L781004,013L,54.9763308,-62.0449127,46.0,30.0,,34.0,8.0,,80.0,0.7,,2.0,90.0,27.2,50.0,0.6,Routine,013L,54.97623,-62.04579,59.0,2.34,0.1,1.1,,49.9,0.1,0.03,0.56,0.29,20.5,8.3,18.3,0.18,33.34,1.42,0.71,0.66,0.75,4.4,1.77,,0.03,51.0,0.28,,0.02,12.3,3.1,0.09,0.26,58.0,0.46,0.107,0.51,12.79,42.4,0.052,2.15,,3.22,,1.7,,0.27,0.04,2.2,0.7,2.2,0.1,40.9,,0.22,,0.7,0.023,0.04,0.09,0.3,17.0,,7.19,0.64,51.4,0.8,46.0,30.0,34.0,8.0,80.0,0.7,90.0,50.0,0.6,59.0,2.34,49.9,0.1,0.56,0.29,20.5,8.3,18.3,0.18,33.34,1.42,0.71,0.66,0.75,4.4,1.77,51.0,0.28,0.02,12.3,3.1,0.09,0.26,58.0,0.46,0.107,0.51,12.79,42.4,0.052,2.15,3.22,1.7,0.27,2.2,0.7,2.2,40.9,0.22,0.7,0.023,0.04,0.09,0.3,17.0,7.19,0.64,51.4,0.8,POINT (-62.0449127 54.9763308),3.6785763196167034,0.45118980508059414,3.511059878468457,-2.7015462172830613,-0.978779619541958,-1.6368354802906333,2.6214637618553467,1.7172943905135363,2.507939935558359,-2.1137595523809427,3.107796753033632,-0.04830425267584665,-0.741451433235792,-0.8144765682506817,-0.6866431967407968,1.0826434166351997,0.17201842229672187,3.53286450843531,-1.6719268001019032,-4.310984129717162,2.1106381380893557,0.7324409872020847,-2.806906732940888,-1.746034772255625,3.6614818862574037,-1.1754899137880122,-2.633887568809247,-1.0723056775527815,2.1497024913017353,3.3481872379488964,-3.3554726846897256,0.3665067178505555,0.7704202352673011,0.13166712677315442,-1.708294444272778,0.3894962360752544,-0.7556360682277483,0.3894962360752544,3.31216893875974,-1.9130888569187914,-0.7556360682277483,-4.1712221873420035,-3.6178369491572164,-2.806906732940888,-1.602933928614952,2.4342522197672003,1.5737300474439395,-0.8452482269174354,3.5406770481721037,-0.6221046756032256,1.0773081090252261,0.6498640941982864,0.7750272371522924,-0.6718917457840331,1.6306933472100127,-3.1080082314026014,1.748476382866396,1.160689717964277,-3.26215891122986
3,3,4,013L781005,013L,54.973541,-62.0547902,50.0,26.0,,22.0,6.0,,120.0,0.85,,2.0,60.0,29.6,40.0,0.6,First Field Duplicate,013L,54.97344,-62.05566,70.0,2.26,0.1,0.9,,20.3,0.2,,0.47,0.29,17.2,6.4,14.0,0.13,26.07,1.47,0.78,0.71,0.84,3.2,1.82,,0.02,51.0,0.28,,0.02,12.2,1.8,0.12,0.14,94.0,0.79,0.072,0.37,13.24,26.1,0.051,1.55,,3.37,,1.1,,0.35,,2.1,0.6,2.05,0.1,28.2,,0.26,,0.6,0.014,0.03,0.12,0.6,34.0,,8.08,0.74,51.1,0.8,50.0,26.0,22.0,6.0,120.0,0.85,60.0,40.0,0.6,70.0,2.26,20.3,0.2,0.47,0.29,17.2,6.4,14.0,0.13,26.07,1.47,0.78,0.71,0.84,3.2,1.82,51.0,0.28,0.02,12.2,1.8,0.12,0.14,94.0,0.79,0.072,0.37,13.24,26.1,0.051,1.55,3.37,1.1,0.35,2.1,0.6,2.05,28.2,0.26,0.6,0.014,0.03,0.12,0.6,34.0,8.08,0.74,51.1,0.8,POINT (-62.0547902 54.973541),3.899214133003638,0.4660837042384737,2.661339777002021,-1.958719021479821,-1.1043036933237536,-1.5871554650473383,2.4956282747736864,1.5070168813199056,2.289776220569538,-2.3895019375722755,2.9115041188996895,0.035981291744924086,-0.5977424683442202,-0.6917714179924966,-0.5236344961904984,0.8138697007599602,0.24955539204298322,3.582544523678605,-1.6222467848586082,-4.261304114473867,2.15215484269349,0.23850555585639824,-2.469544645245812,-2.3153939654185534,4.194013673224283,-0.5850034425667905,-2.9803702690118024,-1.3435333823895876,2.2339614414631415,2.912654205282927,-3.325210755303532,0.08897382188543455,0.8656316353185496,-0.2539709292413958,-1.3991032335443985,0.39265623568365654,-0.8601067328117115,0.368558684104596,2.990040868898347,-1.69635475701233,-0.8601067328117115,-4.617979058412599,-3.8558390063657026,-2.469544645245812,-0.8601067328117115,3.1770794155704407,1.7401107634872832,-0.6503862018296424,3.584503388163938,-0.5724246603599303,1.2508793752181109,0.5969529078114467,0.42989882314828065,-0.8693841609819803,2.1263481125720105,-2.82366255970781,1.4332009320120653,1.027735823903901,-3.1719692539760262
4,4,5,013L781007,013L,54.9369835,-62.0263991,42.0,20.0,,22.0,9.0,,100.0,0.7,,2.0,65.0,33.6,60.0,0.3,Routine,013L,54.93689,-62.02727,62.0,1.89,,0.3,,35.8,,,0.55,0.34,27.6,9.0,18.7,0.2,21.4,1.34,0.68,0.63,0.75,3.6,2.19,,0.02,74.0,0.26,,0.02,15.7,2.6,0.1,0.2,79.0,0.64,0.051,0.49,16.58,26.1,0.046,1.59,,4.02,,1.7,,0.26,,2.2,0.5,2.78,0.2,28.9,,0.26,,0.6,0.021,0.05,0.1,0.3,28.0,,7.53,0.61,45.4,0.9,42.0,20.0,22.0,9.0,100.0,0.7,65.0,60.0,0.3,62.0,1.89,35.8,0.1684700699178105,0.55,0.34,27.6,9.0,18.7,0.2,21.4,1.34,0.68,0.63,0.75,3.6,2.19,74.0,0.26,0.02,15.7,2.6,0.1,0.2,79.0,0.64,0.051,0.49,16.58,26.1,0.046,1.59,4.02,1.7,0.26,2.2,0.5,2.78,28.9,0.26,0.6,0.021,0.05,0.1,0.3,28.0,7.53,0.61,45.4,0.9,POINT (-62.0263991 54.9369835),3.728446779104613,0.2378892231310726,3.179260287466176,-2.179684777508203,-0.9965246066960988,-1.4774972673124083,2.919128166782626,1.798536971395741,2.5298359179200625,-2.0081255183745785,2.6647033160873272,-0.10601799197765836,-0.784350086752463,-0.8607230655370371,-0.6863696783922594,0.8822462395215859,0.38521393788793107,3.9053774872636913,-1.7457612539070877,-4.310710611368624,2.354973106413784,0.556823839086958,-2.701272698934524,-2.0081255183745785,3.970760246526543,-0.8449747085688978,-3.37461725219829,-1.1120374938179431,2.4095095437666703,2.8632477083881693,-3.4778014884335207,0.06504641029166174,0.9925942966904513,0.131940645121692,-1.7457612539070877,0.38976975442379186,-1.0918347865004236,0.6237633217620673,2.965153989177908,-1.7457612539070877,-0.9095132297064691,-4.261920447199192,-3.3944198794944693,-2.701272698934524,-1.6026604102664144,2.9335169042347258,1.6202074358713239,-0.8929839277552585,3.416824499106824,-0.5040481215983047,1.1449003746863622,0.4029630299569848,0.49827320976130973,-0.39554466626078677,2.012400942391085,-2.9494441875357387,1.581618026298631,1.5015753186250946,-3.796742047922942
5,5,6,013L781008,013L,54.9333356,-62.0481194,36.0,18.0,,19.0,7.0,,80.0,0.9,,,80.0,36.2,60.0,0.5,Routine,013L,54.93324,-62.04899,46.0,2.3,,2.3,,32.5,,,0.56,0.26,27.5,7.4,20.2,0.19,18.91,1.29,0.67,0.65,0.89,4.5,2.07,,0.03,71.0,0.25,,0.02,14.9,3.5,0.08,0.21,61.0,0.55,0.062,0.62,15.84,23.0,0.063,1.94,,4.07,,1.6,,0.26,,2.0,0.7,2.51,0.2,28.2,,0.25,,0.6,0.024,0.04,0.09,0.3,33.0,,6.59,0.58,37.3,0.9,36.0,18.0,19.0,7.0,80.0,0.9,80.0,60.0,0.5,46.0,2.3,32.5,0.1701198656591816,0.56,0.26,27.5,7.4,20.2,0.19,18.91,1.29,0.67,0.65,0.89,4.5,2.07,71.0,0.25,0.02,14.9,3.5,0.08,0.21,61.0,0.55,0.062,0.62,15.84,23.0,0.063,1.94,4.07,1.6,0.26,2.0,0.7,2.51,28.2,0.25,0.6,0.024,0.04,0.09,0.3,33.0,6.59,0.58,37.3,0.9,POINT (-62.0481194 54.9333356),3.439000996705229,0.44326872315123816,3.0915996895518263,-2.160892398063567,-0.9694588950368078,-1.736714047750475,2.9245456048886598,1.6118396004262583,2.616042204623293,-2.0503716066055167,2.5500504828865003,-0.13499818141028497,-0.7901179663809911,-0.82042331587632,-0.5061742160398174,1.1144369969924084,0.3379082074934118,3.8730394772574495,-1.7759347609037563,-4.301663405212012,2.3117208131675477,0.8631225687115023,-2.915369044092121,-1.9502881480485341,3.7212334643894454,-0.9874774005394862,-3.170261293720911,-0.8676762007268656,2.372897986602414,2.745853816145284,-3.1542609523744702,0.27304757329137097,1.014002599670638,0.08036322946186988,-1.736714047750475,0.3035067807760795,-0.7463153437225982,0.5306423533598267,2.949681578160202,-1.7759347609037563,-0.9004660235498564,-4.119341848418057,-3.6085162246520666,-2.797586008435738,-1.5936132041098017,3.1068671616826147,1.49591294873055,-0.9343675752255378,3.229352926865904,-0.49500091544169206,0.9808378317976524,0.28769065123770704,0.3417578725079829,-0.6567709576031442,1.779345528015424,-2.708041622316284,1.779345528015424,1.491663455563643,-3.2958282872184026
6,6,7,013L781009,013L,54.9187277,-62.0304917,38.0,18.0,2.0,11.0,6.0,,100.0,0.5,,,45.0,39.0,70.0,0.3,Routine,013L,54.91863,-62.03136,87.0,1.37,,0.5,,10.0,,,0.49,0.26,27.4,6.9,9.0,0.13,16.14,1.66,0.87,0.83,0.51,1.7,2.51,,0.02,88.0,0.32,,0.01,18.1,1.2,0.1,0.09,82.0,1.08,0.021,0.37,18.75,12.1,0.044,1.31,,4.83,2.0,0.9,,0.35,0.03,2.3,0.6,3.26,0.1,23.7,,0.31,,0.5,0.015,0.04,0.11,0.3,19.0,,8.98,0.71,36.2,0.8,38.0,18.0,11.0,6.0,100.0,0.5,45.0,70.0,0.3,87.0,1.37,10.0,0.1641482032803553,0.49,0.26,27.4,6.9,9.0,0.13,16.14,1.66,0.87,0.83,0.51,1.7,2.51,88.0,0.32,0.01,18.1,1.2,0.1,0.09,82.0,1.08,0.021,0.37,18.75,12.1,0.044,1.31,4.83,0.9,0.35,2.3,0.6,3.26,23.7,0.31,0.5,0.015,0.04,0.11,0.3,19.0,8.98,0.71,36.2,0.8,POINT (-62.0304917 54.9187277),4.221704078714642,0.07060669990009147,2.0583810530541036,-2.0511896206307543,-0.9575539278174069,-1.5912776879065513,3.0663389734540822,1.6873173716632717,1.9530205373962772,-2.2844248684664965,2.5370966229018608,0.26261356242850975,-0.38346610727344976,-0.43053361813143554,-0.9175485932037076,0.28642421112222827,0.6760787132037503,4.233132774538264,-1.383638323128307,-4.849374225928034,2.6517078983318383,-0.061882483145987516,-2.546789132933988,-2.652149648591814,4.162515207324311,-0.1672429988038137,-4.107436881198656,-1.238456313283809,2.686989712476478,2.249001412662753,-3.367769685003818,0.025823097273118205,1.3306424277245392,-0.34956455559776833,-1.29402616443862,0.5887050829951618,-0.7550296637059328,0.9375231554386741,2.9212710082011433,-1.4153870214428872,-0.9373512204998873,-4.443909117819869,-3.463079864808143,-2.451478953129663,-1.4481768442658782,2.7002349392264984,1.9507958423741663,-0.5866943488867181,3.3448550788917832,-0.46734759125415176,1.2508283161074008,0.5036139142771795,0.01113742917938533,-0.5949983743909301,2.2184123423691062,-3.0799050241789305,1.4199046461513347,1.8617373984303738,-3.590730647944921
7,7,8,013L781010,013L,54.916706,-62.0875934,44.0,20.0,2.0,20.0,8.0,,140.0,1.7,,2.0,90.0,22.8,60.0,0.8,Routine,013L,54.91661,-62.08846,64.0,2.93,,0.5,,72.8,0.1,,0.63,0.2,28.9,9.1,23.5,0.21,21.2,1.34,0.69,0.63,1.77,5.4,1.93,,0.04,67.0,0.26,,0.03,14.3,4.4,0.09,0.31,115.0,0.82,0.103,0.73,15.81,23.9,0.08,2.17,,3.94,,2.0,,0.13,,2.6,0.6,2.52,0.2,34.9,,0.25,,0.8,0.032,0.04,0.09,0.9,50.0,,6.87,0.59,49.2,1.1,44.0,20.0,20.0,8.0,140.0,1.7,90.0,60.0,0.8,64.0,2.93,72.8,0.1,0.63,0.2,28.9,9.1,23.5,0.21,21.2,1.34,0.69,0.63,1.77,5.4,1.93,67.0,0.26,0.03,14.3,4.4,0.09,0.31,115.0,0.82,0.103,0.73,15.81,23.9,0.08,2.17,3.94,2.0,0.13,2.6,0.6,2.52,34.9,0.25,0.8,0.032,0.04,0.09,0.9,50.0,6.87,0.59,49.2,1.1,POINT (-62.0875934 54.916706),3.613579088402996,0.5296984280723003,3.7424119602459647,-2.8478890879507213,-1.0073394545532344,-2.154741907390776,2.8185376001617106,1.6629704185661287,2.6116964261934377,-2.105951743221344,2.508697186721291,-0.2526343809938556,-0.9163676763475077,-1.0073394545532344,0.02567555162906202,1.141094958613553,0.11221600796011841,3.6593886244342904,-1.8923776429232848,-4.051861892276658,2.1149555423091857,0.93630054596754,-2.9532496036085476,-1.7164869764596207,4.199628133406574,-0.7437549336805139,-2.8183302857091768,-0.860014739796376,2.2153386562647053,2.6285744639807893,-3.071032639264931,0.2294231725956924,0.8258767283531667,0.14784318560326956,-2.5855248234832304,0.41020745007076076,-1.0561296187226665,0.3789549065666562,3.0071828342517057,-1.9315983560765664,-0.7684475462708853,-3.987323371139086,-3.7641798198248764,-2.9532496036085476,-0.6506645106145019,3.36671901047147,1.3818601112775823,-1.0729367370390477,3.3505896285415866,-0.44999381515235065,0.928814403072071,0.14035704270780086,0.14035704270780086,-0.7759336891663543,2.086267191763114,-2.32474697978402,1.6444344394840749,1.2389693313759105,-3.0785187821604
8,8,9,013L781011,013L,54.8837768,-62.1042547,24.0,12.0,,8.0,4.0,,60.0,0.3,,2.0,,31.4,70.0,2.5,Routine,013L,54.88368,-62.10512,39.0,0.49,,0.4,,26.1,,,0.45,0.16,15.7,3.9,9.2,0.11,13.11,1.23,0.66,0.38,0.32,0.9,1.6,,,92.0,0.22,,0.01,10.7,0.8,0.09,0.06,27.0,2.1,0.017,0.2,11.31,9.1,0.034,0.82,,2.8,2.0,0.8,,0.46,,1.3,0.6,1.93,,26.2,,0.2,,0.4,0.009,0.03,0.09,3.0,20.0,,6.51,0.5,27.5,0.7,24.0,12.0,8.0,4.0,60.0,0.3,77.9141818268865,70.0,2.5,39.0,0.49,26.1,0.1908668579096741,0.45,0.16,15.7,3.9,9.2,0.11,13.11,1.23,0.66,0.38,0.32,0.9,1.6,92.0,0.22,0.01,10.7,0.8,0.09,0.06,27.0,2.1,0.017,0.2,11.31,9.1,0.034,0.82,2.8,0.8,0.46,1.3,0.6,1.93,26.2,0.2,0.4,0.009,0.03,0.09,3.0,20.0,6.51,0.5,27.5,0.7,POINT (-62.1042547 54.8837768),3.6596388765728,-0.7172726574343113,3.2580125447718014,-1.6601019425718337,-0.8024304657746182,-1.8365042333051567,2.749737942797416,1.3570537835787542,2.2152807144981477,-2.2111976827465676,2.5694525282187617,0.20309139982747945,-0.41943821351851235,-0.9715067958185521,-1.1433570527452113,-0.1092832852146729,0.46608085968888907,4.517865807492194,-1.518050502186622,-4.609092955544938,2.366320971911014,-0.22706632087105624,-2.4118683782087187,-2.817333486316883,3.2919140964474827,0.7380145751725308,-4.0784647044827675,-1.613360681990947,2.4217645205711826,2.204351643965958,-3.385317523922822,-0.20237370828068493,1.0256966476243117,-0.22706632087105624,-0.7804515590558428,0.25844149491064455,-0.5147483933228372,0.6535972333599477,3.2618366412102047,-1.613360681990947,-0.9202135014310016,-4.714453471202765,-3.5104806668768282,-2.4118683782087187,1.094689519111263,2.9918095039971444,1.8694166866636313,-0.6970699501167918,3.3102632351156793,-0.36059771349557906,0.7847802633750924,0.09163308281514713,-0.3138320252930174,-1.0069792058529627,1.7010709952492473,-3.597246371298789,1.962334421027474,1.8552216750765058,-1.4769828350986982
9,9,10,013L781012,013L,54.8647654,-62.0549116,56.0,18.0,,18.0,13.0,,120.0,1.1,,,290.0,1.4,30.0,0.7,Routine,013L,54.86467,-62.05578,22.0,1.57,,0.5,,109.5,0.2,,0.66,0.15,37.1,14.5,28.2,0.25,18.6,2.16,1.01,0.56,1.26,4.0,2.91,,0.06,30.0,0.37,,0.06,17.2,5.3,0.13,0.48,115.0,0.3,0.11,0.82,19.02,24.3,0.078,2.22,,4.47,,5.0,,0.06,,4.0,0.3,3.51,0.3,33.5,,0.37,,2.4,0.073,0.12,0.14,0.5,42.0,,10.33,0.95,63.2,3.3,56.0,18.0,18.0,13.0,120.0,1.1,290.0,30.0,0.7,22.0,1.57,109.5,0.2,0.66,0.15,37.1,14.5,28.2,0.25,18.6,2.16,1.01,0.56,1.26,4.0,2.91,30.0,0.37,0.06,17.2,5.3,0.13,0.48,115.0,0.3,0.11,0.82,19.02,24.3,0.078,2.22,4.47,5.0,0.06,4.0,0.3,3.51,33.5,0.37,2.4,0.073,0.12,0.14,0.5,42.0,10.33,0.95,63.2,3.3,POINT (-62.0549116 54.8647654),2.4049565213493933,-0.23501031264870562,4.009838617247633,-2.295523844443023,-1.1016013759705883,-2.5832059168948036,2.927531037604467,1.9880627174176064,2.6532360459351456,-2.072380293128813,2.2370756487102335,0.08402228968715145,-0.6761356011557542,-1.2659044272618643,-0.45497421104553565,0.7002084291109683,0.3820671491744789,2.715111449653233,-1.6803382053527893,-3.4994966487689587,2.158823451810485,0.9816208885491537,-2.726306760535477,-1.420055107089123,4.058846196354327,-1.8900587363348584,-2.893360845198643,-0.8845368707327607,2.259405125108322,2.5043904183375805,-3.237132384301468,0.11142126387526584,0.8113024766165551,0.9233519804251781,-3.4994966487689587,0.7002084291109683,-1.8900587363348584,0.5695301054688521,2.8254595068220985,-1.6803382053527893,0.18938280534497756,-3.303381769842668,-2.8063494682090133,-2.652198788381755,-1.3792331125688677,3.051583686274446,1.648966351122625,-0.7373792263964729,3.4602183691438895,0.5078365364635121,1.1399905965930013,0.005010663754016785,0.005010663754016785,-0.3204117366806112,1.9021306486398981,-2.790050914337823,2.7845198288383717,0.5158362875200074,-3.2420360380808804
