,Unique ID,NTS Sheet,Latitude_NAD83,Longitude_NAD83,Old Zn,Old Cu,Old Pb,Old Ni,Old Co,Old Ag,Old Mn,Old Fe,Old As,Old Mo,Old F,LOI,Old Hg,Old U,Sample Type,NTS,Latitude (NAD 27),Longitude (NAD 27),New Ag,New Al,New As,New Au,New B,New Ba,New Be,New Bi,New Ca,New Cd,New Ce,New Co,New Cr,New Cs,New Cu,New Dy,New Er,New Eu,New Fe,New Ga,New Gd,New Ge,New Hf,New Hg,New Ho,New In,New K,New La,New Li,New Lu,New Mg,New Mn,New Mo,New Na,New Nb,New Nd,New Ni,New P,New Pb,New Pd,New Pr,New Pt,New Rb,New Re,New S,New Sb,New Sc,New Se,New Sm,New Sn,New Sr,New Ta,New Tb,New Te,New Th,New Ti,New Tl,New Tm,New U,New V,New W,New Y,New Yb,New Zn,New Zr
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,013L781002,013L,54.9890932,-62.0190714,40.0,38.0,,43.0,10.0,,70.0,1.0,,2.0,85.0,23,40.0,0.3,Routine,013L,54.989,-62.01995,57.0,2.89,,1.0,,81.5,0.2,0.02,0.48,0.32,19.1,9.9,22.6,0.17,43.46,1.18,0.65,0.56,1.06,4.6,1.66,,0.03,46.0,0.23,,0.03,10.5,2.9,0.1,0.26,60.0,0.55,0.103,0.39,11.2,52.9,0.042,1.9,,2.84,,1.6,,0.25,,2.3,0.7,1.9,0.1,41.0,,0.2,,0.8,0.021,0.03,0.1,0.3,31.0,,6.04,0.64,44.0,0.9
2,013L781003,013L,54.9753817,-62.0305772,40.0,44.0,,35.0,8.0,,80.0,1.9,,,80.0,33,70.0,0.5,Routine,013L,54.97529,-62.03145,106.0,3.22,0.1,1.6,,26.0,,0.02,0.48,0.35,17.9,8.8,20.8,0.18,49.32,1.3,0.53,0.57,2.19,5.0,1.41,,0.03,66.0,0.2,,0.02,10.0,2.5,0.07,0.2,69.0,0.71,0.08,0.55,9.85,44.7,0.094,2.26,,2.61,,1.6,,0.3,0.02,2.3,1.3,1.76,0.1,31.3,,0.19,,0.8,0.021,0.03,0.08,0.3,45.0,,5.65,0.49,45.1,1.0
3,013L781004,013L,54.9763308,-62.0449127,46.0,30.0,,34.0,8.0,,80.0,0.7,,2.0,90.0,27.2,50.0,0.6,Routine,013L,54.97623,-62.04579,59.0,2.34,0.1,1.1,,49.9,0.1,0.03,0.56,0.29,20.5,8.3,18.3,0.18,33.34,1.42,0.71,0.66,0.75,4.4,1.77,,0.03,51.0,0.28,,0.02,12.3,3.1,0.09,0.26,58.0,0.46,0.107,0.51,12.79,42.4,0.052,2.15,,3.22,,1.7,,0.27,0.04,2.2,0.7,2.2,0.1,40.9,,0.22,,0.7,0.023,0.04,0.09,0.3,17.0,,7.19,0.64,51.4,0.8
4,013L781005,013L,54.973541,-62.0547902,50.0,26.0,,22.0,6.0,,120.0,0.85,,2.0,60.0,29.6,40.0,0.6,First Field Duplicate,013L,54.97344,-62.05566,70.0,2.26,0.1,0.9,,20.3,0.2,,0.47,0.29,17.2,6.4,14.0,0.13,26.07,1.47,0.78,0.71,0.84,3.2,1.82,,0.02,51.0,0.28,,0.02,12.2,1.8,0.12,0.14,94.0,0.79,0.072,0.37,13.24,26.1,0.051,1.55,,3.37,,1.1,,0.35,,2.1,0.6,2.05,0.1,28.2,,0.26,,0.6,0.014,0.03,0.12,0.6,34.0,,8.08,0.74,51.1,0.8
5,013L781007,013L,54.9369835,-62.0263991,42.0,20.0,,22.0,9.0,,100.0,0.7,,2.0,65.0,33.6,60.0,0.3,Routine,013L,54.93689,-62.02727,62.0,1.89,,0.3,,35.8,,,0.55,0.34,27.6,9.0,18.7,0.2,21.4,1.34,0.68,0.63,0.75,3.6,2.19,,0.02,74.0,0.26,,0.02,15.7,2.6,0.1,0.2,79.0,0.64,0.051,0.49,16.58,26.1,0.046,1.59,,4.02,,1.7,,0.26,,2.2,0.5,2.78,0.2,28.9,,0.26,,0.6,0.021,0.05,0.1,0.3,28.0,,7.53,0.61,45.4,0.9
6,013L781008,013L,54.9333356,-62.0481194,36.0,18.0,,19.0,7.0,,80.0,0.9,,,80.0,36.2,60.0,0.5,Routine,013L,54.93324,-62.04899,46.0,2.3,,2.3,,32.5,,,0.56,0.26,27.5,7.4,20.2,0.19,18.91,1.29,0.67,0.65,0.89,4.5,2.07,,0.03,71.0,0.25,,0.02,14.9,3.5,0.08,0.21,61.0,0.55,0.062,0.62,15.84,23.0,0.063,1.94,,4.07,,1.6,,0.26,,2.0,0.7,2.51,0.2,28.2,,0.25,,0.6,0.024,0.04,0.09,0.3,33.0,,6.59,0.58,37.3,0.9
7,013L781009,013L,54.9187277,-62.0304917,38.0,18.0,2.0,11.0,6.0,,100.0,0.5,,,45.0,39,70.0,0.3,Routine,013L,54.91863,-62.03136,87.0,1.37,,0.5,,10.0,,,0.49,0.26,27.4,6.9,9.0,0.13,16.14,1.66,0.87,0.83,0.51,1.7,2.51,,0.02,88.0,0.32,,0.01,18.1,1.2,0.1,0.09,82.0,1.08,0.021,0.37,18.75,12.1,0.044,1.31,,4.83,2.0,0.9,,0.35,0.03,2.3,0.6,3.26,0.1,23.7,,0.31,,0.5,0.015,0.04,0.11,0.3,19.0,,8.98,0.71,36.2,0.8
8,013L781010,013L,54.916706,-62.0875934,44.0,20.0,2.0,20.0,8.0,,140.0,1.7,,2.0,90.0,22.8,60.0,0.8,Routine,013L,54.91661,-62.08846,64.0,2.93,,0.5,,72.8,0.1,,0.63,0.2,28.9,9.1,23.5,0.21,21.2,1.34,0.69,0.63,1.77,5.4,1.93,,0.04,67.0,0.26,,0.03,14.3,4.4,0.09,0.31,115.0,0.82,0.103,0.73,15.81,23.9,0.08,2.17,,3.94,,2.0,,0.13,,2.6,0.6,2.52,0.2,34.9,,0.25,,0.8,0.032,0.04,0.09,0.9,50.0,,6.87,0.59,49.2,1.1
9,013L781011,013L,54.8837768,-62.1042547,24.0,12.0,,8.0,4.0,,60.0,0.3,,2.0,,31.4,70.0,2.5,Routine,013L,54.88368,-62.10512,39.0,0.49,,0.4,,26.1,,,0.45,0.16,15.7,3.9,9.2,0.11,13.11,1.23,0.66,0.38,0.32,0.9,1.6,,,92.0,0.22,,0.01,10.7,0.8,0.09,0.06,27.0,2.1,0.017,0.2,11.31,9.1,0.034,0.82,,2.8,2.0,0.8,,0.46,,1.3,0.6,1.93,,26.2,,0.2,,0.4,0.009,0.03,0.09,3.0,20.0,,6.51,0.5,27.5,0.7
10,013L781012,013L,54.8647654,-62.0549116,56.0,18.0,,18.0,13.0,,120.0,1.1,,,290.0,1.4,30.0,0.7,Routine,013L,54.86467,-62.05578,22.0,1.57,,0.5,,109.5,0.2,,0.66,0.15,37.1,14.5,28.2,0.25,18.6,2.16,1.01,0.56,1.26,4.0,2.91,,0.06,30.0,0.37,,0.06,17.2,5.3,0.13,0.48,115.0,0.3,0.11,0.82,19.02,24.3,0.078,2.22,,4.47,,5.0,,0.06,,4.0,0.3,3.51,0.3,33.5,,0.37,,2.4,0.073,0.12,0.14,0.5,42.0,,10.33,0.95,63.2,3.3
11,013L781014,013L,54.8542275,-62.0623395,100.0,14.0,2.0,18.0,14.0,,400.0,3.3,,2.0,160.0,17.4,50.0,0.6,Routine,013L,54.85413,-62.0632,51.0,2.14,0.4,0.5,,114.4,0.3,0.03,0.4,0.28,34.4,14.1,30.1,0.34,13.43,2.28,1.21,0.78,3.04,4.3,3.0,,,61.0,0.42,,0.04,18.3,4.7,0.15,0.32,350.0,1.06,0.052,0.66,20.0,21.9,0.058,3.33,,5.0,,3.0,,0.15,,4.0,0.4,3.64,0.2,25.3,,0.38,,1.0,0.044,0.06,0.17,0.5,63.0,,11.17,1.14,101.4,0.7
12,013L781015,013L,54.8324088,-62.0315066,30.0,12.0,2.0,8.0,4.0,,60.0,0.3,,,50.0,33.4,50.0,0.3,Routine,013L,54.83231,-62.03237,66.0,0.67,,,,42.1,0.1,,0.37,0.19,22.7,4.1,9.5,0.16,11.8,2.42,1.21,0.87,0.23,1.2,3.03,,,46.0,0.45,,0.01,15.5,1.2,0.16,0.07,43.0,0.71,0.012,0.28,19.1,10.0,0.041,1.22,,4.59,,1.1,,0.3,,1.5,0.6,3.53,,25.9,,0.39,,0.1,0.012,,0.17,0.4,9.0,,12.18,1.1,35.3,0.3
13,013L781016,013L,54.8130188,-62.0297302,86.0,20.0,2.0,14.0,8.0,,280.0,3.1,,4.0,125.0,27,60.0,1.1,Routine,013L,54.81292,-62.03059,140.0,2.42,0.1,0.8,,78.8,0.3,0.02,0.43,0.54,48.8,9.0,22.7,0.24,20.33,3.68,1.98,1.31,3.45,3.1,4.92,,,79.0,0.68,,0.03,28.7,2.7,0.26,0.19,266.0,2.96,0.028,0.53,31.7,16.5,0.196,2.1,,8.1,,2.8,,0.2,0.02,2.8,1.5,5.56,0.2,21.5,,0.63,0.02,0.4,0.023,0.07,0.28,1.0,87.0,,19.0,1.87,93.6,0.7
14,013L781017,013L,54.7728497,-62.0436426,66.0,18.0,,15.0,9.0,,200.0,1.7,,3.0,90.0,17.6,70.0,0.8,Routine,013L,54.77275,-62.0445,139.0,1.59,0.2,,,117.0,0.3,0.02,0.58,0.34,38.3,8.6,19.5,0.3,19.25,3.08,1.66,1.05,1.8,2.4,3.84,,0.03,78.0,0.56,,0.05,21.4,3.0,0.22,0.24,182.0,1.58,0.031,0.41,24.23,19.0,0.145,1.91,,5.94,,4.1,3.0,0.14,0.02,3.5,0.7,4.31,0.2,22.7,,0.51,,0.6,0.027,0.08,0.24,0.6,53.0,0.2,15.74,1.5,66.9,1.2
15,013L781018,013L,54.7556887,-62.0116323,108.0,18.0,2.0,18.0,8.0,,260.0,1.5,,2.0,135.0,19,50.0,0.9,Routine,013L,54.75559,-62.01249,79.0,1.78,,0.6,,147.0,0.3,,0.49,0.37,56.1,8.0,23.2,0.29,18.11,4.34,2.3,1.31,1.48,3.0,5.44,,,52.0,0.8,,0.05,36.3,4.7,0.28,0.26,241.0,1.9,0.039,0.68,37.95,20.9,0.061,2.18,,10.07,,4.1,,0.15,0.02,4.1,0.4,6.47,0.2,24.7,,0.7,,0.8,0.039,0.13,0.3,0.8,49.0,,22.72,1.99,114.3,0.8
16,013L781019,013L,54.7489906,-62.0529685,48.0,10.0,,7.0,5.0,,120.0,0.9,,,80.0,6,40.0,0.4,Routine,013L,54.74889,-62.05383,34.0,1.1,,0.3,,59.4,0.2,,0.45,0.17,29.1,4.9,14.0,0.15,9.1,1.71,0.89,0.53,1.1,2.1,2.6,,,40.0,0.33,,0.03,16.1,3.5,0.11,0.21,120.0,0.61,0.08,0.37,16.03,10.6,0.043,1.66,,4.11,,2.2,,0.07,,1.8,0.2,2.82,0.1,27.2,,0.32,,0.7,0.034,0.05,0.13,0.3,25.0,0.1,8.62,0.77,58.6,0.3
